"Station Name","MAC Address","Org Name","Start Date","Start Time Zone","End Date","End Time Zone","Transaction Date (Pacific Time)","Total Duration (hh:mm:ss)","Charging Time (hh:mm:ss)","Energy (kWh)","GHG Savings (kg)","Gasoline Savings (gallons)","Port Type","Port Number","Plug Type","EVSE ID","Address 1","Address 2",City,State/Province,"Postal Code",Country,Latitude,Longitude,Currency,Fee,"Ended By","Plug In Event Id","Driver Postal Code","User ID","Start SOC","End SOC",County,"System S/N","Model Number"
"SLAC / SUSB CHARGER 3",0024:B100:0002:1777,"SLAC - Stanford","2020-05-04 08:12:51",PDT,"2020-05-04 16:49:40",PDT,"2020-05-04 16:50:22",08:36:54,02:47:37,8.414,3.534,1.056,"Level 2",2,J1772,112413,"Loop Rd",,"Portola Valley",California,94028,"United States",37.420052,-122.203835,USD,0.840,"Plug Out at Vehicle",6557,95037,21551071,,,"San Mateo County",143741006695,CT4020-HD-GW
"SLAC / SUSB CHARGER 3",0024:B100:0002:1777,"SLAC - Stanford","2020-05-03 05:50:50",PDT,"2020-05-03 13:54:09",PDT,"2020-05-03 13:54:50",08:03:21,08:03:11,48.181,20.236,6.047,"Level 2",1,J1772,112413,"Loop Rd",,"Portola Valley",California,94028,"United States",37.420052,-122.203835,USD,4.820,"Plug Out at Vehicle",6556,94610,4321501,,,"San Mateo County",143741006695,CT4020-HD-GW
"SLAC / SUSB CHARGER 2",0024:B100:0002:166F,"SLAC - Stanford","2020-05-02 22:41:47",PDT,"2020-05-03 05:57:18",PDT,"2020-05-03 05:58:02",07:15:29,04:07:22,25.056,10.523,3.144,"Level 2",2,J1772,113177,"Loop Rd",,"Portola Valley",California,94028,"United States",37.420021,-122.204056,USD,2.510,"Plug Out at Vehicle",6211,94541,19775251,,,"San Mateo County",143541006391,CT4020-HD
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-05-02 08:43:43",PDT,"2020-05-02 14:54:23",PDT,"2020-05-02 14:55:23",06:10:40,02:31:55,8.986,3.774,1.128,"Level 2",1,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,0.900,"Plug Out at Vehicle",4914,95129,826091,,,"San Mateo County",143741006697,CT4020-HD
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-05-01 21:59:22",PDT,"2020-05-02 05:58:40",PDT,"2020-05-02 05:59:24",07:59:17,04:17:42,26.251,11.025,3.294,"Level 2",2,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,2.630,"Plug Out at Vehicle",4913,94541,19775251,,,"San Mateo County",143741006697,CT4020-HD
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-04-30 21:58:17",PDT,"2020-05-01 06:02:11",PDT,"2020-05-01 06:02:52",08:03:53,03:49:57,22.908,9.621,2.875,"Level 2",2,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,2.290,"Plug Out at Vehicle",4912,94541,19775251,,,"San Mateo County",143741006697,CT4020-HD
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-04-30 09:47:22",PDT,"2020-04-30 15:31:01",PDT,"2020-04-30 15:31:45",05:43:44,03:05:19,12.169,5.111,1.527,"Level 2",1,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,1.220,"Plug Out at Vehicle",4911,95129,826091,,,"San Mateo County",143741006697,CT4020-HD
"SLAC / SUSB CHARGER 3",0024:B100:0002:1777,"SLAC - Stanford","2020-04-30 06:04:21",PDT,"2020-04-30 14:03:03",PDT,"2020-04-30 14:03:45",07:58:46,07:58:28,47.610,19.996,5.975,"Level 2",1,J1772,112413,"Loop Rd",,"Portola Valley",California,94028,"United States",37.420052,-122.203835,USD,4.760,"Plug Out at Vehicle",6555,94610,4321501,,,"San Mateo County",143741006695,CT4020-HD-GW
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-04-29 21:59:29",PDT,"2020-04-30 06:00:41",PDT,"2020-04-30 06:01:24",08:01:11,04:39:01,28.334,11.900,3.556,"Level 2",2,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,2.830,"Plug Out at Vehicle",4910,94541,19775251,,,"San Mateo County",143741006697,CT4020-HD
"SLAC / SUSB CHARGER 1",0024:B100:0002:423E,"SLAC - Stanford","2020-04-29 09:11:27",PDT,"2020-04-29 16:38:33",PDT,"2020-04-29 16:39:14",07:27:06,02:38:20,9.852,4.138,1.236,"Level 2",1,J1772,113189,"Loop Rd",,"Menlo Park",California,94025,"United States",37.419960,-122.204262,USD,0.990,"Plug Out at Vehicle",4909,95129,826091,,,"San Mateo County",143741006697,CT4020-HD
