,q_bid,start_time,qmtp,is_bid,p_bid,meter_id,e,end_time,rate_id,mode_dispatch,mode_market,meter_interval_id
0,0.0,2021-07-22T09:00:00,0.0,True,0.0,1,0.0,2021-07-22T09:01:00,1,0.0,0.0,1
1,0.0,2021-07-22T09:00:00,0.0,True,0.0,2,0.0,2021-07-22T09:01:00,1,0.0,0.0,2
2,0.0,2021-07-22T09:00:00,0.0,True,0.0,3,0.0,2021-07-22T09:01:00,1,0.0,0.0,3
3,0.0,2021-07-22T09:00:00,0.0,True,0.0,4,0.0,2021-07-22T09:01:00,1,0.0,0.0,4
4,0.0,2021-07-22T09:00:00,0.0,True,0.0,5,0.0,2021-07-22T09:01:00,1,0.0,0.0,5
5,0.0,2021-07-22T09:00:00,0.0,True,0.0,6,0.0,2021-07-22T09:01:00,1,0.0,0.0,6
6,0.615398,2021-07-22T09:01:00,0.615398,True,0.0,1,0.0102566,2021-07-22T09:02:00,1,0.0,0.0,7
7,0.788305,2021-07-22T09:01:00,0.788305,True,0.0,2,0.0131384,2021-07-22T09:02:00,1,0.0,0.0,8
8,0.769412,2021-07-22T09:01:00,0.769412,True,0.0,3,0.0128235,2021-07-22T09:02:00,1,0.0,0.0,9
9,0.722433,2021-07-22T09:01:00,0.722433,True,0.0,4,0.0120405,2021-07-22T09:02:00,1,0.0,0.0,10
10,0.862528,2021-07-22T09:01:00,0.862528,True,0.0,5,0.0143755,2021-07-22T09:02:00,1,0.0,0.0,11
11,0.808147,2021-07-22T09:01:00,0.808147,True,0.0,6,0.0134691,2021-07-22T09:02:00,1,0.0,0.0,12
12,0.620391,2021-07-22T09:02:00,0.620391,True,0.0,1,0.0103398,2021-07-22T09:03:00,1,0.0,0.0,13
13,0.794701,2021-07-22T09:02:00,0.794701,True,0.0,2,0.013245,2021-07-22T09:03:00,1,0.0,0.0,14
14,0.775655,2021-07-22T09:02:00,0.775655,True,0.0,3,0.0129276,2021-07-22T09:03:00,1,0.0,0.0,15
15,0.728295,2021-07-22T09:02:00,0.728295,True,0.0,4,0.0121383,2021-07-22T09:03:00,1,0.0,0.0,16
16,0.869527,2021-07-22T09:02:00,0.869527,True,0.0,5,0.0144921,2021-07-22T09:03:00,1,0.0,0.0,17
17,0.814705,2021-07-22T09:02:00,0.814705,True,0.0,6,0.0135784,2021-07-22T09:03:00,1,0.0,0.0,18
18,0.62534,2021-07-22T09:03:00,0.62534,True,0.0,1,0.0104223,2021-07-22T09:04:00,1,0.0,0.0,19
19,0.80104,2021-07-22T09:03:00,0.80104,True,0.0,2,0.0133507,2021-07-22T09:04:00,1,0.0,0.0,20
20,0.781842,2021-07-22T09:03:00,0.781842,True,0.0,3,0.0130307,2021-07-22T09:04:00,1,0.0,0.0,21
21,0.734104,2021-07-22T09:03:00,0.734104,True,0.0,4,0.0122351,2021-07-22T09:04:00,1,0.0,0.0,22
22,0.876463,2021-07-22T09:03:00,0.876463,True,0.0,5,0.0146077,2021-07-22T09:04:00,1,0.0,0.0,23
23,0.821204,2021-07-22T09:03:00,0.821204,True,0.0,6,0.0136867,2021-07-22T09:04:00,1,0.0,0.0,24
24,0.636445,2021-07-22T09:04:00,0.636445,True,0.0,1,0.0106074,2021-07-22T09:05:00,1,0.0,0.0,25
25,0.815265,2021-07-22T09:04:00,0.815265,True,0.0,2,0.0135877,2021-07-22T09:05:00,1,0.0,0.0,26
